iter	Passed	Remaining
583	12547	8937
584	12572	8918
585	12599	8901
586	12625	8883
587	12651	8864
588	12676	8845
589	12700	8826
590	12725	8806
591	12747	8785
592	12768	8763
593	12795	8745
594	12819	8726
595	12844	8706
596	12874	8690
597	12917	8683
598	12944	8665
599	12968	8645
600	13003	8633
601	13046	8625
602	13098	8623
603	13137	8613
604	13175	8602
605	13209	8588
606	13235	8569
607	13260	8549
608	13282	8527
609	13307	8508
610	13331	8487
611	13355	8467
612	13380	8447
613	13405	8427
614	13428	8406
615	13447	8383
616	13469	8361
617	13490	8339
618	13514	8318
619	13535	8296
620	13559	8275
621	13579	8252
622	13601	8230
623	13624	8209
624	13645	8187
625	13665	8164
626	13685	8141
627	13709	8120
628	13731	8099
629	13751	8076
630	13774	8055
631	13799	8034
632	13822	8013
633	13846	7993
634	13875	7975
635	13901	7956
636	13924	7935
637	13943	7911
638	13963	7888
639	13985	7866
640	14006	7844
641	14030	7823
642	14052	7802
643	14073	7779
644	14095	7758
645	14116	7735
646	14138	7714
647	14160	7692
648	14181	7669
649	14203	7648
650	14225	7626
651	14248	7604
652	14269	7582
653	14289	7560
654	14310	7537
655	14333	7516
656	14357	7495
657	14380	7474
658	14402	7452
659	14425	7431
660	14450	7411
661	14472	7389
662	14493	7367
663	14515	7345
664	14536	7323
665	14562	7302
666	14581	7279
667	14605	7258
668	14626	7236
669	14648	7215
670	14669	7192
671	14692	7171
672	14716	7150
673	14737	7128
674	14758	7106
675	14780	7084
676	14801	7061
677	14822	7039
678	14842	7016
679	14867	6996
680	14890	6974
681	14911	6953
682	14933	6930
683	14954	6908
684	14976	6886
685	14997	6864
686	15020	6843
687	15044	6822
688	15066	6800
689	15087	6778
690	15108	6756
691	15130	6734
692	15150	6711
693	15170	6689
694	15192	6667
695	15214	6645
696	15235	6623
697	15257	6601
698	15278	6579
699	15299	6556
700	15319	6534
701	15341	6512
702	15363	6490
703	15383	6468
704	15406	6446
705	15427	6424
706	15447	6402
707	15469	6380
708	15489	6357
709	15511	6335
710	15532	6313
711	15553	6291
712	15572	6268
713	15592	6245
714	15614	6223
715	15636	6202
716	15658	6180
717	15678	6157
718	15699	6135
719	15720	6113
720	15742	6091
721	15764	6070
722	15789	6049
723	15810	6027
724	15833	6005
725	15854	5983
726	15876	5961
727	15898	5940
728	15921	5918
729	15943	5897
730	15967	5875
731	15991	5854
732	16015	5833
733	16040	5812
734	16064	5791
735	16082	5768
736	16104	5747
737	16125	5724
738	16146	5702
739	16167	5680
740	16188	5658
741	16208	5635
742	16231	5614
743	16251	5591
744	16272	5569
745	16294	5547
746	16315	5525
747	16338	5504
748	16359	5482
749	16380	5460
750	16401	5438
751	16421	5415
752	16442	5393
753	16463	5371
754	16483	5348
755	16503	5326
756	16524	5304
757	16545	5282
758	16564	5259
759	16584	5237
760	16603	5214
761	16625	5192
762	16646	5170
763	16667	5148
764	16687	5126
765	16710	5104
766	16731	5082
767	16752	5060
768	16773	5038
769	16793	5016
770	16813	4994
771	16834	4971
772	16853	4949
773	16877	4928
774	16899	4906
775	16919	4884
776	16938	4861
777	16959	4839
778	16980	4817
779	16999	4794
780	17019	4772
781	17040	4750
782	17059	4727
783	17080	4705
784	17101	4683
785	17122	4661
786	17141	4639
787	17162	4617
788	17182	4595
789	17202	4572
790	17222	4550
791	17242	4528
792	17262	4506
793	17281	4483
794	17301	4461
795	17325	4440
796	17346	4418
797	17367	4396
798	17388	4374
799	17408	4352
800	17429	4330
801	17447	4307
802	17468	4285
803	17491	4263
804	17513	4242
805	17534	4220
806	17554	4198
807	17576	4176
808	17595	4154
809	17616	4132
810	17638	4110
811	17659	4088
812	17680	4066
813	17701	4044
814	17723	4023
815	17743	4001
816	17765	3979
817	17786	3957
818	17807	3935
819	17828	3913
820	17850	3891
821	17870	3869
822	17888	3847
823	17909	3825
824	17930	3803
825	17951	3781
826	17971	3759
827	17992	3737
828	18013	3715
829	18033	3693
830	18054	3671
831	18074	3649
832	18094	3627
833	18116	3605
834	18136	3583
835	18156	3561
836	18178	3540
837	18199	3518
838	18219	3496
839	18240	3474
840	18262	3452
841	18282	3430
842	18304	3409
843	18326	3387
844	18345	3365
845	18365	3343
846	18388	3321
847	18410	3299
848	18429	3277
849	18451	3256
850	18471	3234
851	18492	3212
852	18515	3190
853	18535	3168
854	18559	3147
855	18581	3125
856	18602	3104
857	18622	3081
858	18642	3060
859	18661	3037
860	18682	3016
861	18704	2994
862	18724	2972
863	18745	2950
864	18765	2928
865	18788	2907
866	18812	2885
867	18836	2864
868	18860	2843
869	18881	2821
870	18901	2799
871	18924	2777
872	18945	2756
873	18965	2734
874	18985	2712
875	19005	2690
876	19027	2668
877	19048	2646
878	19071	2625
879	19094	2603
880	19116	2582
881	19141	2560
882	19167	2539
883	19192	2518
884	19216	2497
885	19241	2475
886	19265	2454
887	19288	2432
888	19309	2410
